path	n_events	mean_inf_pct	median_inf_pct	match_avg_pct
long_content_30k_001/long30k_059_gc2500_rp0.005_mr8E-5_ss100.fa	11	1.666	1.448	97.220
long_content_30k_001/long30k_060_gc3250_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_061_gc4000_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_062_gc3250_rp0.02_mr8E-5_ss200.fa	2	4.562	4.562	95.925
long_content_30k_001/long30k_063_gc2500_rp0.005_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_064_gc4000_rp0.02_mr8E-5_ss200.fa	15	1.290	1.290	97.990
long_content_30k_001/long30k_065_gc2500_rp0.02_mr4E-5_ss200.fa	4	1.857	1.994	97.367
long_content_30k_001/long30k_066_gc2500_rp0.02_mr12E-5_ss50.fa	30	5.621	5.546	93.779
long_content_30k_001/long30k_067_gc4000_rp0.01_mr8E-5_ss100.fa	23	6.463	6.956	93.780
long_content_30k_001/long30k_068_gc2500_rp0.01_mr8E-5_ss100.fa	19	3.289	2.322	95.314
long_content_30k_001/long30k_069_gc4000_rp0.02_mr12E-5_ss100.fa	20	6.569	6.485	92.420
long_content_30k_001/long30k_070_gc2500_rp0.01_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_071_gc2500_rp0.01_mr8E-5_ss50.fa	30	5.413	1.000	89.640
long_content_30k_001/long30k_072_gc3250_rp0.005_mr4E-5_ss200.fa	30	7.554	7.898	93.873
long_content_30k_001/long30k_073_gc4000_rp0.02_mr4E-5_ss100.fa	2	1.649	1.649	97.709
long_content_30k_001/long30k_074_gc3250_rp0.02_mr4E-5_ss200.fa	25	0.806	0.832	97.145
long_content_30k_001/long30k_075_gc3250_rp0.02_mr12E-5_ss100.fa	30	12.359	12.518	90.703
long_content_30k_001/long30k_076_gc2500_rp0.01_mr12E-5_ss100.fa	30	7.381	8.584	92.813
long_content_30k_001/long30k_077_gc4000_rp0.01_mr8E-5_ss200.fa	8	9.704	9.704	92.521
long_content_30k_001/long30k_078_gc4000_rp0.01_mr4E-5_ss50.fa	7	1.913	1.702	98.626
long_content_30k_001/long30k_079_gc2500_rp0.02_mr4E-5_ss50.fa	22	2.477	2.776	97.759
long_content_30k_001/long30k_080_gc3250_rp0.01_mr4E-5_ss100.fa	16	1.574	1.574	97.960
long_content_30k_001/long30k_081_gc4000_rp0.01_mr12E-5_ss50.fa	29	5.343	4.809	94.373
long_content_30k_001/long30k_082_gc3250_rp0.01_mr8E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_083_gc2500_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_084_gc4000_rp0.02_mr8E-5_ss50.fa	30	7.332	6.048	91.806
long_content_30k_001/long30k_085_gc3250_rp0.01_mr12E-5_ss200.fa	4	5.591	6.106	95.817
long_content_30k_001/long30k_086_gc3250_rp0.01_mr4E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_087_gc2500_rp0.02_mr4E-5_ss100.fa	20	1.689	1.689	97.383
long_content_30k_001/long30k_088_gc2500_rp0.005_mr4E-5_ss100.fa	24	1.891	1.126	94.095
long_content_30k_001/long30k_089_gc2500_rp0.005_mr8E-5_ss50.fa	7	6.613	6.613	92.763
long_content_30k_001/long30k_090_gc3250_rp0.005_mr4E-5_ss100.fa	16	1.017	1.017	99.091
long_content_30k_001/long30k_091_gc2500_rp0.02_mr8E-5_ss200.fa	14	2.893	3.022	96.658
long_content_30k_001/long30k_092_gc3250_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_093_gc3250_rp0.02_mr4E-5_ss100.fa	2	1.257	1.257	97.830
long_content_30k_001/long30k_094_gc3250_rp0.005_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_095_gc4000_rp0.02_mr12E-5_ss50.fa	8	5.211	3.750	91.785
long_content_30k_001/long30k_096_gc4000_rp0.01_mr4E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_097_gc4000_rp0.005_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_098_gc3250_rp0.005_mr8E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_099_gc2500_rp0.01_mr8E-5_ss200.fa	30	3.125	3.281	96.505
long_content_30k_001/long30k_100_gc4000_rp0.005_mr8E-5_ss200.fa	5	4.350	4.350	96.192
long_content_30k_001/long30k_101_gc4000_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_102_gc4000_rp0.005_mr8E-5_ss100.fa	2	5.073	5.073	95.643
long_content_30k_001/long30k_103_gc4000_rp0.01_mr12E-5_ss100.fa	30	15.635	17.126	87.567
long_content_30k_001/long30k_104_gc3250_rp0.01_mr8E-5_ss200.fa	30	3.375	2.589	96.974
long_content_30k_001/long30k_105_gc3250_rp0.02_mr12E-5_ss200.fa	2	7.411	7.411	93.596
long_content_30k_001/long30k_106_gc2500_rp0.01_mr4E-5_ss100.fa	1	2.465	2.465	98.729
long_content_30k_001/long30k_107_gc4000_rp0.01_mr4E-5_ss200.fa	16	2.164	2.645	98.185
