informative_pct,parental_identity,recomb_p1_identity,recomb_p2_identity,bp_dist,edge_dist_min,rdp_methods_max,rdp_consensus_max,content_len,n_called,idx,file,bp_start,bp_end,in_subset,outcome_thr06,outcome_thr08
0.14987616306312337,0.8501238369368767,0.794631501439186,0.7967066068679296,10470,7847,1.0,1.0,32000,29878,24,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,13683,24153,False,0,0
0.2100876899390856,0.7899123100609144,0.7513555124171631,0.8388111654059843,22845,2891,1.0,1.0,32000,29878,25,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,6264,29109,False,0,0
0.26203226454247275,0.7379677354575273,0.9728228127719393,0.745732646094116,2778,0,0.0,1.0,29878,29878,26,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,2778,False,1,1
0.13414552513555125,0.8658544748644488,0.8136086752794699,0.7579824620121829,14073,0,0.0,1.0,30354,29878,27,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,14073,False,0,0
0.22160117812437244,0.7783988218756276,0.8412209652587188,0.9030724948122364,13728,0,0.0,1.0,30378,29878,28,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,13728,False,1,1
0.17153089229533436,0.8284691077046656,0.8766985742017538,0.8271303300087021,14691,0,0.0,1.0,30345,29878,29,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,14691,False,0,0
0.2352901800656001,0.7647098199343999,0.7290983332217685,0.7799049467835866,2685,1359,0.0,1.0,30045,29878,30,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,26001,28686,False,1,1
0.18890153290046188,0.8110984670995381,0.8050404980253029,0.8490862842225049,13566,0,0.0,1.0,29881,29878,31,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,13566,False,0,0
0.24991632639400227,0.7500836736059977,0.9910971283218422,0.7543677622330812,621,11865,1.0,1.0,32000,29878,32,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,11865,12486,False,2,2
0.25386572059709483,0.7461342794029051,0.7553383760626547,0.7717718722806078,10794,0,1.0,1.0,32000,29878,33,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,10794,False,1,1
0.12705000334694425,0.8729499966530557,0.8212062387040632,0.7982127317758886,9378,0,1.0,1.0,32000,29878,34,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,0,9378,False,0,0
0.14930718254233885,0.8506928174576611,0.9888546756811032,0.8590267086150345,1380,12785,1.0,1.0,32000,29878,35,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,17835,19215,False,2,2
0.1281210255037151,0.8718789744962849,0.8473458732177522,0.8037686592141375,4233,9798,1.0,1.0,32000,29878,36,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,9798,14031,False,2,2
0.20871544280072293,0.791284557199277,0.8639801860900997,0.7975098734855077,1350,13251,0.0,1.0,30276,29878,37,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,15675,17025,False,2,2
0.2578820536849856,0.7421179463150144,0.7449293794765379,0.802864984269362,3022,498,0.0,1.0,30376,29878,38,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,26856,29878,False,2,2
0.036046589463819535,0.9639534105361804,0.9724881183479483,0.9889216145659013,8256,1152,1.0,1.0,32000,29878,39,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,1152,9408,False,2,2
0.15014391860231607,0.8498560813976839,0.8006894705134212,0.7477742820804606,538,2122,1.0,1.0,32000,29878,40,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,29340,29878,False,2,2
0.1633308789075574,0.8366691210924426,0.7896780239641208,0.7857955686458263,1458,5613,1.0,1.0,32000,29878,41,alignment_TestSet_2022-08-20-15_55_16_3300-0.07-0.000114-100.fa,5613,7071,False,2,2
